LST_MAM_median_C,valid_obs,LST_MAM_SD_C,ST_QA_median_K,NDVI_MAM_median,NDBI_MAM_median,NDMI_MAM_median,BSI_MAM_median,GHSL_built_local_fraction,WorldCover_2021,elevation_m,slope_deg,northness,eastness,distance_to_coast_m,distance_to_permanent_water_m,x_utm,y_utm,row,col,longitude,latitude,block1km_x,block1km_y,block1km_id,block2km_x,block2km_y,block2km_id,block3km_x,block3km_y,block3km_id,block5km_x,block5km_y,block5km_id,municipality
31.325594,45.0,5.5039907,4.3312197,0.83005637,-0.40714023,0.40714023,-0.34067422,0.0,10.0,26.0,5.0,0.70710677,-0.70710677,755.3807,250.0,285015.0,672705.0,35,685,121.05748546682045,6.0824495611249665,285,672,285_672,142,336,142_336,95,224,95_224,57,134,57_134,Patikul
32.988136,43.0,6.213597,4.298392,0.8343086,-0.3771079,0.3771079,-0.31675744,0.0,10.0,20.0,8.0,0.9945219,-0.104528464,750.0,241.86774,285315.0,672705.0,35,695,121.06019508645494,6.082459301806557,285,672,285_672,142,336,142_336,95,224,95_224,57,134,57_134,Patikul
32.976646,44.0,5.8596396,4.379373,0.8421792,-0.37726945,0.37726945,-0.32034972,0.3,10.0,12.0,10.0,-0.8910065,0.4539905,566.0389,178.04494,285615.0,672705.0,35,705,121.06290471050687,6.082469028911939,285,672,285_672,142,336,142_336,95,224,95_224,57,134,57_134,Patikul
32.54446,42.0,5.676352,4.581293,0.85269254,-0.4385999,0.4385999,-0.37902313,0.0,10.0,11.0,8.0,0.57357645,0.81915206,445.98206,136.01471,285915.0,672705.0,35,715,121.06561433897006,6.082478742441004,285,672,285_672,142,336,142_336,95,224,95_224,57,134,57_134,Patikul
32.39047,44.0,5.8235407,4.7900786,0.75326174,-0.29888365,0.29888365,-0.224912,0.0,10.0,13.0,2.0,-0.43837115,-0.89879405,390.0,120.0,286215.0,672705.0,35,725,121.06832397183834,6.082488442393642,286,672,286_672,143,336,143_336,95,224,95_224,57,134,57_134,Patikul
32.11918,46.0,5.5016975,4.545617,0.8394462,-0.45518342,0.45518342,-0.38852382,0.0,10.0,24.0,3.0,0.82903755,0.5591929,453.9824,139.28389,286515.0,672705.0,35,735,121.07103360910557,6.082498128769748,286,672,286_672,143,336,143_336,95,224,95_224,57,134,57_134,Patikul
30.41068,47.0,5.166188,4.77094,0.8598154,-0.44593874,0.44593874,-0.39325073,0.0,10.0,16.0,7.0,0.1391731,0.99026805,424.26407,130.38405,286815.0,672705.0,35,745,121.07374325076559,6.082507801569212,286,672,286_672,143,336,143_336,95,224,95_224,57,134,57_134,Patikul
30.743204,51.0,5.810605,4.8025823,0.8534678,-0.42415798,0.42415798,-0.36467648,0.0,10.0,14.0,9.0,0.9945219,0.104528464,424.26407,133.41664,287115.0,672705.0,35,755,121.07645289681221,6.082517460791926,287,672,287_672,143,336,143_336,95,224,95_224,57,134,57_134,Patikul
31.237417,47.0,5.750068,4.7404795,0.8559606,-0.41639546,0.41639546,-0.3684717,0.0,10.0,14.0,8.0,0.809017,-0.58778524,436.80658,139.28389,287415.0,672705.0,35,765,121.07916254723929,6.082527106437781,287,672,287_672,143,336,143_336,95,224,95_224,57,134,57_134,Patikul
30.97788,48.0,6.771569,4.9205093,0.7798322,-0.37084207,0.37084207,-0.2988525,0.0,10.0,29.0,5.0,0.98162717,-0.190809,371.0795,111.8034,287715.0,672705.0,35,775,121.08187220204066,6.0825367385066755,287,672,287_672,143,336,143_336,95,224,95_224,57,134,57_134,Patikul
